customer_id,customer_name,gender,age,city,state,country,customer_segment
1,Aryan Maharaj,Male,65,Mumbai,Maharashtra,India,Returning
2,Udant Dewan,Male,26,Hyderabad,Telangana,India,Premium
3,Gagan Sami,Male,55,Mumbai,Maharashtra,India,Returning
4,Ayushman Chander,Male,23,Bengaluru,Karnataka,India,New
5,Viraj Tiwari,Male,53,Hyderabad,Telangana,India,New
6,Rushil Saini,Female,32,Jaipur,Rajasthan,India,Returning
7,Saumya Mall,Female,18,Lucknow,Uttar Pradesh,India,New
8,Nathaniel Sami,Female,35,Kolkata,West Bengal,India,New
9,Arunima Dugal,Female,24,Hyderabad,Telangana,India,New
10,Gayathri Chaudry,Male,40,Kolkata,West Bengal,India,Returning
11,Lajita Chatterjee,Female,20,Lucknow,Uttar Pradesh,India,Premium
12,Hemangini Lalla,Male,42,Ahmedabad,Gujarat,India,New
13,Tripti Yadav,Female,58,Jaipur,Rajasthan,India,Premium
14,Kritika Brar,Male,63,Pune,Maharashtra,India,New
15,Janaki Handa,Male,36,Bengaluru,Karnataka,India,New
16,Chakradev Kari,Male,42,Hyderabad,Telangana,India,Returning
17,Fariq Kaul,Female,28,Ahmedabad,Gujarat,India,Returning
18,Lajita Mall,Male,60,Pune,Maharashtra,India,Returning
19,Janya Gaba,Male,52,Mumbai,Maharashtra,India,Premium
20,Isha Kadakia,Male,47,Hyderabad,Telangana,India,Returning
21,Ekbal Garg,Male,61,Chennai,Tamil Nadu,India,Returning
22,Nihal Shere,Male,20,Bengaluru,Karnataka,India,Returning
23,Anamika Kanda,Female,22,Kolkata,West Bengal,India,New
24,Daksh Karnik,Female,31,Lucknow,Uttar Pradesh,India,Premium
25,Diya Rattan,Female,59,Ahmedabad,Gujarat,India,Returning
26,Dominic Kakar,Female,26,Delhi,Delhi,India,New
27,Simon Tata,Female,65,Jaipur,Rajasthan,India,Premium
28,Tara Dhar,Female,41,Kolkata,West Bengal,India,New
29,Liam Koshy,Female,23,Delhi,Delhi,India,New
30,Priya Rastogi,Male,58,Mumbai,Maharashtra,India,New
31,Theodore Devi,Male,42,Kolkata,West Bengal,India,Returning
32,Gavin Batta,Female,51,Lucknow,Uttar Pradesh,India,Returning
33,Michael Dutta,Male,61,Jaipur,Rajasthan,India,Premium
34,Devansh Rajan,Female,59,Mumbai,Maharashtra,India,Returning
35,Upadhriti Wadhwa,Female,45,Mumbai,Maharashtra,India,New
36,Advay Contractor,Male,64,Ahmedabad,Gujarat,India,Premium
37,Harini Choudhury,Male,50,Chennai,Tamil Nadu,India,New
38,Radhika Dugar,Male,27,Chennai,Tamil Nadu,India,Returning
39,Aarush Lall,Male,56,Delhi,Delhi,India,Returning
40,Yashica Cherian,Male,25,Ahmedabad,Gujarat,India,Returning
41,Yashica Issac,Male,21,Chennai,Tamil Nadu,India,New
42,Kashvi Edwin,Male,23,Lucknow,Uttar Pradesh,India,Premium
43,Ekiya Suresh,Male,52,Ahmedabad,Gujarat,India,New
44,Isaac Patil,Female,53,Delhi,Delhi,India,New
45,Wriddhish Bhardwaj,Female,31,Chennai,Tamil Nadu,India,Premium
46,Farhan Chada,Female,43,Hyderabad,Telangana,India,Premium
47,Ekapad Walia,Female,51,Pune,Maharashtra,India,Returning
48,Kabir Soman,Male,32,Mumbai,Maharashtra,India,New
49,Alka Wable,Male,55,Pune,Maharashtra,India,Premium
50,Siddharth Zacharia,Male,18,Hyderabad,Telangana,India,New
51,Devika Rastogi,Male,22,Bengaluru,Karnataka,India,New
52,Raksha Varughese,Male,50,Pune,Maharashtra,India,New
53,Jai Kota,Female,31,Chennai,Tamil Nadu,India,Premium
54,Devansh Nigam,Female,33,Delhi,Delhi,India,Returning
55,Victor Kannan,Male,24,Kolkata,West Bengal,India,New
56,Ekavir Bhargava,Female,45,Kolkata,West Bengal,India,Returning
57,Ekansh Balay,Male,61,Ahmedabad,Gujarat,India,Premium
